f_account.nm_name;f_stagehistory.f_duration;f_stagehistory.f_velocity;f_stagehistory.nm_id;f_opportunity.nm_name;f_product.nm_name;f_stage.nm_stagename
Applied Trust;\N;86;1542;Applied Trust > CompuSci;CompuSci;Closed Lost
Apptis;\N;91;1544;Apptis > CompuSci;CompuSci;Closed Lost
Aptera Software;\N;105;1547;Aptera Software > CompuSci;CompuSci;Closed Lost
Aptera Software;\N;66;1548;Aptera Software > WonderKid;WonderKid;Closed Lost
AQIWO;\N;50;1549;AQIWO > CompuSci;CompuSci;Closed Lost
Arbor-Nomics Turf;\N;56;1552;Arbor-Nomics Turf > CompuSci;CompuSci;Closed Lost
Arborwell;\N;91;3156;Arborwell > CompuSci;CompuSci;Closed Won
Arc Aspicio;\N;64;1553;Arc Aspicio > CompuSci;CompuSci;Closed Lost
Arc Aspicio;\N;76;1554;Arc Aspicio > WonderKid;WonderKid;Closed Lost
ArcaMax Publishing;17;25;6700;ArcaMax Publishing > CompuSci;CompuSci;Risk Assessment
ArcaMax Publishing;8;35;6782;ArcaMax Publishing > CompuSci;CompuSci;Short List
ArcaMax Publishing;8;46;6360;ArcaMax Publishing > CompuSci;CompuSci;Conviction
ArcaMax Publishing;\N;AMC Entertainment;1555;ArcaMax Publishing > Grammar Plus;Grammar Plus;Closed Lost
ArcaMax Publishing;\N;AMC Entertainment;3157;ArcaMax Publishing > CompuSci;CompuSci;Closed Won
ArcaTech Systems;\N;99;1556;ArcaTech Systems > CompuSci;CompuSci;Closed Lost
Arent Fox;\N;98;1563;Arent Fox > CompuSci;CompuSci;Closed Lost
ARES;\N;105;3159;ARES > CompuSci;CompuSci;Closed Won
Argent Capital Management;\N;114;1565;Argent Capital Management > CompuSci;CompuSci;Closed Lost
ARHD;\N;56;1568;ARHD > CompuSci;CompuSci;Closed Lost
Aribex;\N;52;1569;Aribex > CompuSci;CompuSci;Closed Lost
Arkadin;20;37;128;Arkadin > CompuSci;CompuSci;Short List
Arkadin;25;10;126;Arkadin > CompuSci;CompuSci;Discovery
Arkadin;30;127;127;Arkadin > CompuSci;CompuSci;Negotiation
Arkadin;\N;95;3161;Arkadin > PhoenixSoft;PhoenixSoft;Closed Won
Arnold & Porter;\N;65;3162;Arnold & Porter > CompuSci;CompuSci;Closed Won
ARRC Technology;\N;124;1576;ARRC Technology > CompuSci;CompuSci;Closed Lost
ArrowStream;\N;118;1580;ArrowStream > CompuSci;CompuSci;Closed Lost
ArrowStream;\N;62;1581;ArrowStream > WonderKid;WonderKid;Closed Lost
Arsalon Technologies;\N;107;1584;Arsalon Technologies > PhoenixSoft;PhoenixSoft;Closed Lost
Arsalon Technologies;\N;125;1583;Arsalon Technologies > CompuSci;CompuSci;Closed Lost
Art & Logic;\N;68;1585;Art & Logic > CompuSci;CompuSci;Closed Lost
ASAP;\N;34;3167;ASAP > CompuSci;CompuSci;Closed Won
ASAP Towing & Storage;\N;106;3168;ASAP Towing & Storage > CompuSci;CompuSci;Closed Won
Ascend HR;\N;68;3169;Ascend HR > CompuSci;CompuSci;Closed Won
Ascendant Compliance Management;\N;101;1590;Ascendant Compliance Management > WonderKid;WonderKid;Closed Lost
Ascendant Compliance Management;\N;95;1589;Ascendant Compliance Management > CompuSci;CompuSci;Closed Lost
Ascendant Technology;\N;95;1591;Ascendant Technology > CompuSci;CompuSci;Closed Lost
ASI System Integration;15;163;140;ASI System Integration > CompuSci;CompuSci;Negotiation
ASI System Integration;16;95;141;ASI System Integration > CompuSci;CompuSci;Risk Assessment
Aspen Exteriors;\N;77;1597;Aspen Exteriors > CompuSci;CompuSci;Closed Lost
AspireHR;\N;66;1599;AspireHR > CompuSci;CompuSci;Closed Lost
Astyra;\N;52;3175;Astyra > Grammar Plus;Grammar Plus;Closed Won
Astyra;\N;75;1603;Astyra > CompuSci;CompuSci;Closed Lost
AT HOME PERSONAL CARE;\N;95;1604;AT HOME PERSONAL CARE > WonderKid;WonderKid;Closed Lost
Atkinson-Baker;\N;115;1606;Atkinson-Baker > CompuSci;CompuSci;Closed Lost
Atlantic Remodeling;\N;59;1609;Atlantic Remodeling > CompuSci;CompuSci;Closed Lost
Atlantic Remodeling;\N;96;1610;Atlantic Remodeling > WonderKid;WonderKid;Closed Lost
Attack!;\N;56;1616;Attack! > CompuSci;CompuSci;Closed Lost
Audigy Group;\N;88;1619;Audigy Group > CompuSci;CompuSci;Closed Lost
Audio Messaging Solutions;\N;84;1620;Audio Messaging Solutions > CompuSci;CompuSci;Closed Lost
Aurora Networks;\N;50;3178;Aurora Networks > WonderKid;WonderKid;Closed Won
AutoClaims Direct;24;27;150;AutoClaims Direct > WonderKid;WonderKid;Short List
AutoClaims Direct;33;AMC Entertainment;149;AutoClaims Direct > WonderKid;WonderKid;Risk Assessment
AutoClaims Direct;8;19;148;AutoClaims Direct > WonderKid;WonderKid;Discovery
AutoClaims Direct;\N;82;1623;AutoClaims Direct > CompuSci;CompuSci;Closed Lost
AutoRevo;\N;60;1626;AutoRevo > Grammar Plus;Grammar Plus;Closed Lost
Avalon Consulting;\N;97;1633;Avalon Consulting > CompuSci;CompuSci;Closed Lost
Avalon Document Services;\N;100;1634;Avalon Document Services > CompuSci;CompuSci;Closed Lost
AvcomEast;\N;112;1636;AvcomEast > CompuSci;CompuSci;Closed Lost
AVID Technical Resources;\N;59;1642;AVID Technical Resources > CompuSci;CompuSci;Closed Lost
B2B CFO;11;107;160;B2B CFO > Grammar Plus;Grammar Plus;Negotiation
B2B CFO;23;101;159;B2B CFO > Grammar Plus;Grammar Plus;Conviction
B2B CFO;\N;85;1658;B2B CFO > CompuSci;CompuSci;Closed Lost
BackOffice Associates;10;66;6361;BackOffice Associates > CompuSci;CompuSci;Conviction
BackOffice Associates;12;84;6569;BackOffice Associates > CompuSci;CompuSci;Negotiation
BackOffice Associates;15;25;6703;BackOffice Associates > CompuSci;CompuSci;Risk Assessment
BackOffice Associates;\N;52;3188;BackOffice Associates > CompuSci;CompuSci;Closed Won
BACtrack Breathalyzers;11;109;162;BACtrack Breathalyzers > CompuSci;CompuSci;Negotiation
BACtrack Breathalyzers;16;18;161;BACtrack Breathalyzers > CompuSci;CompuSci;Discovery
Baggallini;\N;125;1661;Baggallini > CompuSci;CompuSci;Closed Lost
Bain Medina Bain;\N;92;1662;Bain Medina Bain > CompuSci;CompuSci;Closed Lost
Baker & McKenzie;\N;72;3189;Baker & McKenzie > CompuSci;CompuSci;Closed Won
BakerRisk;\N;104;3190;BakerRisk > CompuSci;CompuSci;Closed Won
BalancePoint;\N;103;1665;BalancePoint > CompuSci;CompuSci;Closed Lost
Bamco;15;22;6785;Bamco > CompuSci;CompuSci;Short List
Bamco;8;54;6704;Bamco > CompuSci;CompuSci;Risk Assessment
Bamco;\N;122;1668;Bamco > CompuSci;CompuSci;Closed Lost
BandCon;20;23;165;BandCon > CompuSci;CompuSci;Discovery
BandCon;6;116;166;BandCon > CompuSci;CompuSci;Negotiation
Bankers Healthcare Group;14;19;167;Bankers Healthcare Group > WonderKid;WonderKid;Discovery
Bankers Healthcare Group;26;\N;168;Bankers Healthcare Group > WonderKid;WonderKid;Interest
Bankers Healthcare Group;\N;71;3193;Bankers Healthcare Group > CompuSci;CompuSci;Closed Won
Barbara Lynch Gruppo;\N;90;1672;Barbara Lynch Gruppo > CompuSci;CompuSci;Closed Lost
Barnes & Thornburg;\N;102;1673;Barnes & Thornburg > CompuSci;CompuSci;Closed Lost
Bars + Tone;\N;94;3194;Bars + Tone > CompuSci;CompuSci;Closed Won
Bay Bridge Decision Technologies;\N;49;1682;Bay Bridge Decision Technologies > CompuSci;CompuSci;Closed Lost
Baystate Financial Services;\N;66;1684;Baystate Financial Services > CompuSci;CompuSci;Closed Lost
BB&E ;\N;64;1685;BB&E  > CompuSci;CompuSci;Closed Lost
BBH Solutions;\N;67;1686;BBH Solutions > CompuSci;CompuSci;Closed Lost
BBS Technologies;\N;82;1687;BBS Technologies > CompuSci;CompuSci;Closed Lost
Beacon Application Services;\N;AMC Entertainment;1690;Beacon Application Services > CompuSci;CompuSci;Closed Lost
Beardwood;\N;50;1693;Beardwood > PhoenixSoft;PhoenixSoft;Closed Lost
Beardwood;\N;75;3198;Beardwood > CompuSci;CompuSci;Closed Won
Beau-coup Wedding Favors;\N;51;3199;Beau-coup Wedding Favors > CompuSci;CompuSci;Closed Won
BeavEx;\N;108;1696;BeavEx > CompuSci;CompuSci;Closed Lost
Bell ATM Service;\N;123;1698;Bell ATM Service > CompuSci;CompuSci;Closed Lost
Benefit Express Services;\N;57;3201;Benefit Express Services > CompuSci;CompuSci;Closed Won
Benham Real Estate Group;\N;111;1702;Benham Real Estate Group > PhoenixSoft;PhoenixSoft;Closed Lost
Benham Real Estate Group;\N;52;1701;Benham Real Estate Group > CompuSci;CompuSci;Closed Lost
Bennett Landscape;\N;65;3204;Bennett Landscape > CompuSci;CompuSci;Closed Won
Berk Wiper Converting;\N;95;1704;Berk Wiper Converting > CompuSci;CompuSci;Closed Lost
Best Rate Referrals;19;\N;176;Best Rate Referrals > PhoenixSoft;PhoenixSoft;Interest
Best Rate Referrals;24;10;175;Best Rate Referrals > PhoenixSoft;PhoenixSoft;Discovery
Best Rate Referrals;\N;107;1707;Best Rate Referrals > CompuSci;CompuSci;Closed Lost
Beverly Prior Architects;\N;90;1709;Beverly Prior Architects > CompuSci;CompuSci;Closed Lost
BeyondTrust;33;33;181;BeyondTrust > CompuSci;CompuSci;Risk Assessment
BeyondTrust;33;39;180;BeyondTrust > CompuSci;CompuSci;Conviction
BigMachines;13;12;182;BigMachines > CompuSci;CompuSci;Discovery
BigMachines;19;60;183;BigMachines > CompuSci;CompuSci;Short List
BigMachines;\N;41;3208;BigMachines > Grammar Plus;Grammar Plus;Closed Won
Bills.com;\N;125;1716;Bills.com > CompuSci;CompuSci;Closed Lost
Bills.com;\N;90;1717;Bills.com > PhoenixSoft;PhoenixSoft;Closed Lost
Billtrust;\N;110;1718;Billtrust > CompuSci;CompuSci;Closed Lost
Binary Tree;\N;117;1719;Binary Tree > CompuSci;CompuSci;Closed Lost
Biocare Medical;\N;117;1721;Biocare Medical > CompuSci;CompuSci;Closed Lost
Bioengineering Group;\N;104;3210;Bioengineering Group > WonderKid;WonderKid;Closed Won
Bioengineering Group;\N;111;1722;Bioengineering Group > CompuSci;CompuSci;Closed Lost
BirdDog Solutions;\N;76;1726;BirdDog Solutions > CompuSci;CompuSci;Closed Lost
Bizzuka;16;40;187;Bizzuka > PhoenixSoft;PhoenixSoft;Risk Assessment
Bizzuka;19;135;186;Bizzuka > PhoenixSoft;PhoenixSoft;Negotiation
Bizzuka;\N;101;3213;Bizzuka > CompuSci;CompuSci;Closed Won
Blank Rome;\N;103;1736;Blank Rome > CompuSci;CompuSci;Closed Lost
Blow;\N;113;1742;Blow > Grammar Plus;Grammar Plus;Closed Lost
Blow;\N;67;1741;Blow > CompuSci;CompuSci;Closed Lost
Blu SKY Restoration Contractors;\N;50;1743;Blu SKY Restoration Contractors > CompuSci;CompuSci;Closed Lost
Blue Cod Technologies;\N;58;3215;Blue Cod Technologies > Grammar Plus;Grammar Plus;Closed Won
Blue Cod Technologies;\N;70;1745;Blue Cod Technologies > CompuSci;CompuSci;Closed Lost
Blue Sky Exhibits;\N;125;1749;Blue Sky Exhibits > CompuSci;CompuSci;Closed Lost
Blue Sky Factory;\N;66;1750;Blue Sky Factory > CompuSci;CompuSci;Closed Lost
BlueCotton;\N;56;3220;BlueCotton > CompuSci;CompuSci;Closed Won
BlueView Technologies;\N;65;3226;BlueView Technologies > PhoenixSoft;PhoenixSoft;Closed Won
BlueView Technologies;\N;88;3225;BlueView Technologies > CompuSci;CompuSci;Closed Won
BlueWave Computing;\N;85;3227;BlueWave Computing > CompuSci;CompuSci;Closed Won
Bluewolf;\N;53;3228;Bluewolf > CompuSci;CompuSci;Closed Won
BOC International;\N;77;1759;BOC International > CompuSci;CompuSci;Closed Lost
Body Central;14;17;197;Body Central > CompuSci;CompuSci;Discovery
Body Central;6;157;198;Body Central > CompuSci;CompuSci;Negotiation
Bogota Latin Bistro;\N;108;3236;Bogota Latin Bistro > CompuSci;CompuSci;Closed Won
Boice.net;\N;111;1764;Boice.net > CompuSci;CompuSci;Closed Lost
Borrego Solar Systems;\N;103;3244;Borrego Solar Systems > CompuSci;CompuSci;Closed Won
Borrego Solar Systems;\N;66;3245;Borrego Solar Systems > WonderKid;WonderKid;Closed Won
Borrego Solar Systems;\N;75;1769;Borrego Solar Systems > CompuSci;CompuSci;Closed Lost
BOSH Global Services;14;AC Lens;6710;BOSH Global Services > Grammar Plus;Grammar Plus;Risk Assessment
BOSH Global Services;15;16;6436;BOSH Global Services > Grammar Plus;Grammar Plus;Discovery
BOSH Global Services;17;10;208;BOSH Global Services > CompuSci;CompuSci;Discovery
BOSH Global Services;\N;55;207;BOSH Global Services > CompuSci;CompuSci;Closed Won
BOSH Global Services;\N;59;1770;BOSH Global Services > Grammar Plus;Grammar Plus;Closed Lost
Boss Business Services;\N;82;1771;Boss Business Services > CompuSci;CompuSci;Closed Lost
Boss Business Services;\N;91;3246;Boss Business Services > CompuSci;CompuSci;Closed Won
Boss Business Services;\N;96;3247;Boss Business Services > PhoenixSoft;PhoenixSoft;Closed Won
Boston Health Economics;\N;67;1772;Boston Health Economics > CompuSci;CompuSci;Closed Lost
Boundless Network;\N;103;1775;Boundless Network > Grammar Plus;Grammar Plus;Closed Lost
Boundless Network;\N;84;3251;Boundless Network > CompuSci;CompuSci;Closed Won
BPA International;\N;113;1778;BPA International > CompuSci;CompuSci;Closed Lost
Bradley Arant Boult Cummings;\N;108;3254;Bradley Arant Boult Cummings > CompuSci;CompuSci;Closed Won
Branco Enterprises;\N;101;1779;Branco Enterprises > CompuSci;CompuSci;Closed Lost
Brandwise;\N;AMC Entertainment;1781;Brandwise > CompuSci;CompuSci;Closed Lost
Brian Cork Human Capital;\N;34;3263;Brian Cork Human Capital > CompuSci;CompuSci;Closed Won
Brightway Insurance;16;34;6713;Brightway Insurance > PhoenixSoft;PhoenixSoft;Risk Assessment
Brightway Insurance;18;11;220;Brightway Insurance > CompuSci;CompuSci;Discovery
Brightway Insurance;32;73;221;Brightway Insurance > CompuSci;CompuSci;Negotiation
Brightway Insurance;4;26;6790;Brightway Insurance > PhoenixSoft;PhoenixSoft;Short List
Brightway Insurance;7;15;6437;Brightway Insurance > PhoenixSoft;PhoenixSoft;Discovery
Brightway Insurance;7;48;6579;Brightway Insurance > PhoenixSoft;PhoenixSoft;Negotiation
Brightway Insurance;\N;98;1790;Brightway Insurance > PhoenixSoft;PhoenixSoft;Closed Lost
Briteskies;\N;89;1794;Briteskies > CompuSci;CompuSci;Closed Lost
BroadRiver;\N;96;1795;BroadRiver > CompuSci;CompuSci;Closed Lost
BroadSoft;\N;121;1796;BroadSoft > CompuSci;CompuSci;Closed Lost
Bronto Software;11;65;6581;Bronto Software > CompuSci;CompuSci;Negotiation
Bronto Software;19;52;6714;Bronto Software > CompuSci;CompuSci;Risk Assessment
Bronto Software;\N;75;3281;Bronto Software > CompuSci;CompuSci;Closed Won
Brooklyn Brewery;19;30;Hyland Software;Brooklyn Brewery > CompuSci;CompuSci;Risk Assessment
Brooklyn Brewery;31;50;223;Brooklyn Brewery > CompuSci;CompuSci;Negotiation
Brown Medical Industries;\N;70;3282;Brown Medical Industries > CompuSci;CompuSci;Closed Won
